"A","AL_Birmingham_A1_A_1_Aves_all_observations",1909,"Birmingham","Birmingham, AL"
"A","AL_Birmingham_A2_A_2_Aves_all_observations",130,"Birmingham","Birmingham, AL"
"A","AL_Birmingham_A3_A_3_Aves_all_observations",190,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B1_B_4_Aves_all_observations",8135,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B10_B_5_Aves_all_observations",1,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B11_B_6_Aves_all_observations",3,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B12_B_7_Aves_all_observations",3,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B13_B_8_Aves_all_observations",24,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B14_B_9_Aves_all_observations",6854,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B16_B_11_Aves_all_observations",6,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B2_B_12_Aves_all_observations",8445,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B3_B_13_Aves_all_observations",143,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B4_B_14_Aves_all_observations",92,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B5_B_15_Aves_all_observations",590,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B7_B_17_Aves_all_observations",12,"Birmingham","Birmingham, AL"
"B","AL_Birmingham_B9_B_19_Aves_all_observations",192,"Birmingham","Birmingham, AL"
"C","AL_Birmingham_C1_C_22_Aves_all_observations",2,"Birmingham","Birmingham, AL"
"C","AL_Birmingham_C10_C_23_Aves_all_observations",2986,"Birmingham","Birmingham, AL"
"C","AL_Birmingham_C11_C_24_Aves_all_observations",735,"Birmingham","Birmingham, AL"
"C","AL_Birmingham_C12_C_25_Aves_all_observations",22804,"Birmingham","Birmingham, AL"
"C","AL_Birmingham_C13_C_26_Aves_all_observations",464,"Birmingham","Birmingham, AL"
"C","AL_Birmingham_C14_C_27_Aves_all_observations",3,"Birmingham","Birmingham, AL"
"C","AL_Birmingham_C15_C_28_Aves_all_observations",12,"Birmingham","Birmingham, AL"
"C","AL_Birmingham_C16_C_30_Aves_all_observations",3,"Birmingham","Birmingham, AL"
