"ebird",1341,"AL_Birmingham_A1_A_1_Aves_all_observations"
"iNaturalist",6,"AL_Birmingham_A1_A_1_Aves_all_observations"
"other",104,"AL_Birmingham_A1_A_1_Aves_all_observations"
"ebird",109,"AL_Birmingham_A2_A_2_Aves_all_observations"
"other",0,"AL_Birmingham_A2_A_2_Aves_all_observations"
"iNaturalist",0,"AL_Birmingham_A2_A_2_Aves_all_observations"
"ebird",159,"AL_Birmingham_A3_A_3_Aves_all_observations"
"iNaturalist",6,"AL_Birmingham_A3_A_3_Aves_all_observations"
"other",0,"AL_Birmingham_A3_A_3_Aves_all_observations"
"ebird",2843,"AL_Birmingham_B1_B_4_Aves_all_observations"
"iNaturalist",14,"AL_Birmingham_B1_B_4_Aves_all_observations"
"other",4227,"AL_Birmingham_B1_B_4_Aves_all_observations"
"ebird",1,"AL_Birmingham_B10_B_5_Aves_all_observations"
"other",0,"AL_Birmingham_B10_B_5_Aves_all_observations"
"iNaturalist",0,"AL_Birmingham_B10_B_5_Aves_all_observations"
"iNaturalist",2,"AL_Birmingham_B11_B_6_Aves_all_observations"
"other",1,"AL_Birmingham_B11_B_6_Aves_all_observations"
"ebird",0,"AL_Birmingham_B11_B_6_Aves_all_observations"
"other",3,"AL_Birmingham_B12_B_7_Aves_all_observations"
"iNaturalist",0,"AL_Birmingham_B12_B_7_Aves_all_observations"
"ebird",0,"AL_Birmingham_B12_B_7_Aves_all_observations"
"ebird",6,"AL_Birmingham_B13_B_8_Aves_all_observations"
"iNaturalist",9,"AL_Birmingham_B13_B_8_Aves_all_observations"
"other",0,"AL_Birmingham_B13_B_8_Aves_all_observations"
"ebird",6390,"AL_Birmingham_B14_B_9_Aves_all_observations"
"iNaturalist",12,"AL_Birmingham_B14_B_9_Aves_all_observations"
"other",0,"AL_Birmingham_B14_B_9_Aves_all_observations"
"iNaturalist",5,"AL_Birmingham_B16_B_11_Aves_all_observations"
"other",0,"AL_Birmingham_B16_B_11_Aves_all_observations"
"ebird",0,"AL_Birmingham_B16_B_11_Aves_all_observations"
"ebird",4177,"AL_Birmingham_B2_B_12_Aves_all_observations"
"iNaturalist",4,"AL_Birmingham_B2_B_12_Aves_all_observations"
"other",5,"AL_Birmingham_B2_B_12_Aves_all_observations"
"iNaturalist",2,"AL_Birmingham_B3_B_13_Aves_all_observations"
"other",0,"AL_Birmingham_B3_B_13_Aves_all_observations"
"ebird",0,"AL_Birmingham_B3_B_13_Aves_all_observations"
"ebird",66,"AL_Birmingham_B4_B_14_Aves_all_observations"
"iNaturalist",1,"AL_Birmingham_B4_B_14_Aves_all_observations"
"other",0,"AL_Birmingham_B4_B_14_Aves_all_observations"
"ebird",197,"AL_Birmingham_B5_B_15_Aves_all_observations"
"other",0,"AL_Birmingham_B5_B_15_Aves_all_observations"
"iNaturalist",0,"AL_Birmingham_B5_B_15_Aves_all_observations"
