id,state,city,holc_id,holc_grade,city_state,area_holc_km2,holc_tot_pop,msa_GEOID,msa_M,msa_p,msa_H,msa_ent_ratio,msa_NAME,msa_medhhincE,msa_medhhincM,msa_total_popE,msa_gini,records,observed_richness,richness,slope,sampling_density,sampling_density_log,completeness,completeness_log,ratio,mean_temp_c,mean_precip_mm,ndvi,pct_pa,pop_per_km
AL_Birmingham_A1_A_1,AL,Birmingham,A1,A,"Birmingham, AL",4.753091273954588,2731.0179887827157,13820,0.40642802320425914,0.00533891418174456,0.4082595395998858,0.706590986272023,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,0.29840232968322766,1640,91,106.472905449122,0.0109756097561018,345.0386086601519,5.843656319929858,85.4677531491657,4.448139148651337,18.021978021978,16.9034190125033,1444.08961380553,0.5564536992703337,6.154127321214735,574.5772238264844
AL_Birmingham_A2_A_2,AL,Birmingham,A2,A,"Birmingham, AL",2.6681168934565056,3169.646987429177,13820,0.40642802320425914,0.00533891418174456,0.4082595395998858,0.706590986272023,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,0.29840232968322766,116,50,86.4084797906464,0.189655172413794,43.47635603390815,3.772217250873135,57.8646911982965,4.05810737469713,2.32,16.9034190125033,1444.08961380553,0.5260144909732537,1.8806128323440816,1187.9715597178902
AL_Birmingham_A3_A_3,AL,Birmingham,A3,A,"Birmingham, AL",1.242412217262795,846.8239887281853,13820,0.40642802320425914,0.00533891418174456,0.4082595395998858,0.706590986272023,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,0.29840232968322766,190,49,65.8203902565065,0.0894736842105246,152.92830942905258,5.0299692457579805,74.4450159123088,4.310060811453328,3.87755102040816,16.9034190125033,1444.08961380553,0.5068635943209961,0,681.5966367377288
AL_Birmingham_B1_B_4,AL,Birmingham,B1,B,"Birmingham, AL",4.538556063336311,7151.248094106262,13820,0.40642802320425914,0.00533891418174456,0.4082595395998858,0.706590986272023,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,0.29840232968322766,7093,94,107.12700654651,0.00281968137601041,1562.8318568760626,7.354254747460013,87.7463144265022,4.474449860626334,75.4574468085106,16.9034190125033,1444.08961380553,0.48312825147395705,0.5173808503805394,1575.665915394543
AL_Birmingham_B10_B_5,AL,Birmingham,B10,B,"Birmingham, AL",0.15848449072424206,203.7344039024314,13820,0.40642802320425914,0.00533891418174456,0.4082595395998858,0.706590986272023,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,0.29840232968322766,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9034190125033,1444.08961380553,0.4593131934201838,0,1285.5163490850518
AL_Birmingham_B11_B_6,AL,Birmingham,B11,B,"Birmingham, AL",0.4501363600502718,462.9633927599519,13820,0.40642802320425914,0.00533891418174456,0.4082595395998858,0.706590986272023,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,0.29840232968322766,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9034190125033,1444.08961380553,0.44397877705897026,0,1028.4958822438773
AL_Birmingham_B12_B_7,AL,Birmingham,B12,B,"Birmingham, AL",0.7677261072281054,1486.9688695955488,13820,0.40642802320425914,0.00533891418174456,0.4082595395998858,0.706590986272023,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,0.29840232968322766,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9034190125033,1444.08961380553,0.4390720069785291,0,1936.8481227820787
AL_Birmingham_B13_B_8,AL,Birmingham,B13,B,"Birmingham, AL",0.4322513099621024,493.3842921177415,13820,0.40642802320425914,0.00533891418174456,0.4082595395998858,0.706590986272023,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,0.29840232968322766,16,11,30.7534779265383,0.4375,37.01550378506151,3.611336846097229,35.7683122093573,3.5770623676275726,1.45454545454545,16.9034190125033,1444.08961380553,0.5049327800518062,1.3807015217389056,1141.4292582733847
AL_Birmingham_B14_B_9,AL,Birmingham,B14,B,"Birmingham, AL",1.6468763231536236,940.8454925280367,13820,0.40642802320425914,0.00533891418174456,0.4082595395998858,0.706590986272023,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,0.29840232968322766,6403,94,100.516929471881,0.00296735905044443,3887.966515748321,8.265641553338595,93.5165852099528,4.538138802488957,68.1170212765958,16.9034190125033,1444.08961380553,0.5280111629657349,0.8406430264555854,571.2909216682405
AL_Birmingham_B15_B_10,AL,Birmingham,B15,B,"Birmingham, AL",0.14455213420777938,281.2032887602336,13820,0.40642802320425914,0.00533891418174456,0.4082595395998858,0.706590986272023,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,0.29840232968322766,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9034190125033,1444.08961380553,0.45725623751984035,0,1945.3416603038993
