city_state,city,state,year,id,id2,holc_polygon,holc_grade,lat,lon,area_holc_km2,sum_bird_obs
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,268
"Birmingham, AL",Birmingham,AL,1995,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,1
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,141
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,6
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,24
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,38
"Birmingham, AL",Birmingham,AL,2016,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,73
"Birmingham, AL",Birmingham,AL,2015,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,33
"Birmingham, AL",Birmingham,AL,2007,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,128
"Birmingham, AL",Birmingham,AL,2006,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,37
"Birmingham, AL",Birmingham,AL,2013,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,56
"Birmingham, AL",Birmingham,AL,2012,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,19
"Birmingham, AL",Birmingham,AL,2004,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,155
"Birmingham, AL",Birmingham,AL,2011,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,1
"Birmingham, AL",Birmingham,AL,2008,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,197
"Birmingham, AL",Birmingham,AL,2009,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,116
"Birmingham, AL",Birmingham,AL,2005,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,34
"Birmingham, AL",Birmingham,AL,1998,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,96
"Birmingham, AL",Birmingham,AL,2002,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,89
"Birmingham, AL",Birmingham,AL,2003,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,82
"Birmingham, AL",Birmingham,AL,2001,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,91
"Birmingham, AL",Birmingham,AL,2000,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,131
"Birmingham, AL",Birmingham,AL,1999,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,93
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,15
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,29
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,9
"Birmingham, AL",Birmingham,AL,1992,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,1
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,11
"Birmingham, AL",Birmingham,AL,1976,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,5
"Birmingham, AL",Birmingham,AL,2009,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,23
